Region,Year,Jelenie (tys zł),Sarny (tys zł),Dziki (tys zł)
REGION DOLNOŚLĄSKIE,2014,3564.1,3711.1,1439.4
REGION DOLNOŚLĄSKIE,2015,3847.4,3625.1,2648.0
REGION DOLNOŚLĄSKIE,2016,4915.7,4655.0,2974.6
REGION DOLNOŚLĄSKIE,2017,4875.6,3759.7,2678.4
REGION DOLNOŚLĄSKIE,2018,5493.7,3456.5,1289.2
REGION DOLNOŚLĄSKIE,2019,5621.1,3789.4,2754.0
REGION DOLNOŚLĄSKIE,2020,4095.3,2735.5,1638.5
REGION DOLNOŚLĄSKIE,2021,5223.7,3929.4,1556.0
REGION DOLNOŚLĄSKIE,2022,7691.7,5262.5,2314.0
REGION DOLNOŚLĄSKIE,2023,7270.2,6243.2,3702.7
REGION DOLNOŚLĄSKIE,2024,4847.4,3646.8,1766.4
REGION KUJAWSKO-POMORSKIE,2014,1778.2,1774.1,466.5
REGION KUJAWSKO-POMORSKIE,2015,2099.5,1899.4,978.2
REGION KUJAWSKO-POMORSKIE,2016,2639.5,2292.7,1127.1
REGION KUJAWSKO-POMORSKIE,2017,2552.7,1882.7,986.0
REGION KUJAWSKO-POMORSKIE,2018,2456.3,1792.5,509.9
REGION KUJAWSKO-POMORSKIE,2019,2338.3,1825.1,880.6
REGION KUJAWSKO-POMORSKIE,2020,1576.0,1235.9,615.1
REGION KUJAWSKO-POMORSKIE,2021,1394.2,1665.9,511.6
REGION KUJAWSKO-POMORSKIE,2022,1657.3,1292.8,860.5
REGION KUJAWSKO-POMORSKIE,2023,1247.2,1347.6,663.0
REGION KUJAWSKO-POMORSKIE,2024,857.0,901.6,533.7
REGION LUBELSKIE,2014,424.2,1237.2,296.5
REGION LUBELSKIE,2015,543.1,1191.1,428.1
REGION LUBELSKIE,2016,929.6,1545.7,448.8
REGION LUBELSKIE,2017,1166.5,1290.4,475.0
REGION LUBELSKIE,2018,2547.9,2364.3,390.9
REGION LUBELSKIE,2019,1365.8,2419.3,266.0
REGION LUBELSKIE,2020,586.4,800.3,44.8
REGION LUBELSKIE,2021,377.1,995.5,39.4
